cohort,overall,n,v1_raw_dice_mean,v1_raw_dice_std,v1_lcc_dice_mean,v1_lcc_dice_std,v2_raw_dice_mean,v2_raw_dice_std,v2_lcc_dice_mean,v2_lcc_dice_std,v2_raw_precision_mean,v2_raw_precision_std,v2_raw_recall_mean,v2_raw_recall_std,v2_lcc_precision_mean,v2_lcc_precision_std,v2_lcc_recall_mean,v2_lcc_recall_std,delta_v2raw_minus_v1raw_mean,delta_v2raw_minus_v1raw_std,delta_v2lcc_minus_v1lcc_mean,delta_v2lcc_minus_v1lcc_std,delta_v2lcc_minus_v2raw_mean,delta_v2lcc_minus_v2raw_std
DUKE,acceptable,121,0.5272513975942492,0.23960787499419434,0.5567459073273439,0.30885169419263103,0.5462947076513553,0.24323970826559185,0.5714726442550209,0.3112739270166535,0.5209498034351172,0.2814516187433292,0.7270852533263861,0.23224030104932772,0.6080941692269957,0.34708259508008155,0.6204534102178153,0.3302656492342678,0.019043310057106057,0.044608116646939776,0.014726736927676981,0.08470720576143685,0.025177936603665647,0.1532509972809979
DUKE,good,149,0.5764054011324438,0.2435568460396221,0.6047600585233548,0.2833829313647593,0.5796569507371359,0.2430191096466682,0.6058292180438968,0.2836874432545183,0.565069254381572,0.2862666840315623,0.7463008975983896,0.21851944736694864,0.6409797404794088,0.3185591511438358,0.6582784075083328,0.3056406052749721,0.003251549604692025,0.011957895918709929,0.0010691595205420705,0.009639161139721639,0.026172267306760897,0.11481681666854564
DUKE,poor,21,0.551415211181682,0.20742245955032507,0.5870486976455976,0.2659974918229372,0.58938088026414,0.19807444362194962,0.6196030792549321,0.2556384667394488,0.6071674722591207,0.25182893707721693,0.6929437118624845,0.2384558466166551,0.6845986632659207,0.30429523456104035,0.6430187458577818,0.29603847564854796,0.03796566908245812,0.052605602417814555,0.0325543816093345,0.07314464390221782,0.030222198990791954,0.16434479960071888
ISPY1,acceptable,80,0.5218238246169805,0.21977698009893473,0.528839684998018,0.2837635668016388,0.5307752849096276,0.21416507215096467,0.5395988783884192,0.278193934488012,0.5039584426132983,0.23207715123762868,0.7020228657637442,0.23362313926625036,0.5558030317817538,0.2905056428456543,0.621878980089744,0.31942575842537035,0.008951460292647033,0.07759695594126444,0.010759193390401307,0.08604536641911861,0.008823593478791728,0.11835321544973197
ISPY1,good,5,0.4103016613154148,0.22503424346553988,0.2972449127212043,0.4136471115453045,0.39774322116632466,0.24835553840662625,0.30224023156222984,0.42202737557981107,0.30470357902116707,0.24201232624440105,0.7173668955742862,0.23371445077885492,0.2826661747176023,0.39807020093213435,0.3255606893653698,0.4509054006584133,-0.012558440149090161,0.03748250693785139,0.00499531884102562,0.011207051354470894,-0.09550298960409473,0.19283757777289603
ISPY1,no_times,13,0.6242949144732752,0.1489258280957095,0.6333538937644836,0.22658810648200695,0.6242874927066759,0.1489280976569556,0.6333477944658401,0.22658885969148607,0.6118414315461282,0.2070255505760373,0.7045245333257036,0.1718643182551675,0.6659382024008443,0.26016142443264817,0.6518280517923759,0.26261694579898115,-7.421766599317122e-06,1.6421438677548887e-05,-6.099298643497547e-06,1.4131153050540297e-05,0.00906030175916414,0.12804562709298925
ISPY1,poor,73,0.5311187035758165,0.2548688224786256,0.5245753581410686,0.3330321902068956,0.5346200867630946,0.25480516995069785,0.5252755275381126,0.3332811351200763,0.5142591593193423,0.2889572907592491,0.7164913430811809,0.23954837984798824,0.5546993670724456,0.3541705839899661,0.5922741468197961,0.3584713597074119,0.0035013831872780367,0.023133637179511685,0.0007001693970440897,0.004628687289777742,-0.009344559224981924,0.14702704576764294
NACT,acceptable,12,0.5496184548112072,0.20452118023913524,0.5965059545780854,0.2950682592500433,0.5462877108464234,0.2069860261801586,0.5384244166957487,0.3388406640401099,0.49499112172559195,0.2666146905496553,0.8442094159340859,0.2195709727756752,0.5337448799595946,0.3413512315773604,0.6783324368543208,0.3871139459672697,-0.0033307439647838736,0.011646944562754443,-0.05808153788233672,0.20122331861278783,-0.007863294150674568,0.21488731967218166
NACT,poor,52,0.564371585172678,0.2158095990204737,0.613256177452808,0.27693984910027375,0.5607390743573374,0.22002803585647634,0.6092074049351388,0.2842565841742827,0.5031797271617899,0.260394797684272,0.7732483164138966,0.23580051259735804,0.6003874947139363,0.3113779398872554,0.7179803118973981,0.3114718217394872,-0.003632510815340636,0.017236122217897304,-0.004048772517669232,0.04019877145812058,0.04846833057780145,0.13596498068940022
